"Tipo","Codigo","Enunciado","Opcao_A","Opcao_B","Opcao_C","Opcao_D","Resposta_Correta_ou_Esperada","Area","Semestre"
"O","C01Q01","Qual o tipo de dado para o valor “Hello” em Python?","int","float","string","boolean","C","Básico","1"
"O","C01Q02","Como converter um número inteiro 10 para um número de ponto flutuante?","float(10)","Int.to_float(10)","10.to_float()","10.float()","A","Básico","1"
"O","C01Q03","Qual o resultado da expressão: 3 == 3.0?","True","False","Erro de Sintaxe","Erro de Execução","A","Básico","1"
"O","C01Q04","Qual a saída do seguinte código: print(type(10))","<int>","<class ‘int’>","<integer>","10","B","Básico","1"
"O","C01Q05","Qual a sintaxe em Python para criar um string contendo várias linhas?","Usando aspas simples","Usando aspas duplas","Usando três aspas simples ou duplas","Não é possível realizar tal ação","C","Básico","1"
"O","C02Q01","Qual é a diferença entre uma lista e uma tupla?","As listas são ordenadas e as tuplas não","As tuplas são ordenadas e as listas não","As listas são mutáveis e as tuplas não","As tuplas são mutáveis e as listas não","C","Estrutura de Dados","1"
"O","C02Q02","Como podemos adicionar um elemento em uma lista?","lista.add(elemento)","lista.append(elemento)","lista.insert(elemento)","lista.push(elemento)","B","Estrutura de Dados","1"
"O","C02Q03","Qual a saída do seguinte código: print(type({1,2,3}))?","<class ‘list’>","<class ‘tuple’>","<class ‘set’>","<class ‘dict’>","C","Estrutura de Dados","1"
"O","C02Q04","Como podemos acessar o valor de um dicionário, chamado dados, através de sua chave?","dados[chave]","dados.get(chave)","dados.key(chave)","Duas respostas estão corretas","D","Estrutura de Dados","1"
"O","C02Q05","Qual é a diferença entre um conjunto e uma lista?","As listas são ordenadas e os conjuntos não","Os conjuntos são ordenados e as listas não","As listas permitem duplicatas e os conjuntos não","Os conjuntos permitem duplicatas e as listas não","C","Estrutura de Dados","1"
"O","C03Q01","No Python não existe a estrutura switch, esta foi substituída por:","if-elif-else","lambda","case","select","A","Comandos","1"
"O","C03Q02","Qual o comando é usado para testar uma condição lógica e executar um determinado bloco de código com base nesta condição?","if","else","select","switch","A","Comandos","1"
"O","C03Q03","Qual comando é responsável por executar um bloco de código repetidamente com base em uma condicional?","for","loop","do","while","D","Comandos","1"
"O","C03Q04","Qual comando é responsável para percorrer uma sequência (como lista, tupla, dicionário, conjunto ou string)?","for","loop","do","while","A","Comandos","1"
"O","C03Q05","Qual o comando usado para ignorar a iteração atual de um laço e passar para a próxima?","skip","break","continue","pass","C","Comandos","1"
"O","C04Q01","Como podemos definir uma função em python?","def nome():","function nome():","nome = function():","nome = func():","A","Funções","1"
"O","C04Q02","O que é uma função lambda?","Uma função que pode ter qualquer número de argumentos mas apenas uma expressão","Uma função que não tem nome","Uma função que é definida sem a palavra-chave def","Uma função que pode ser definida na linha da instrução","E","Funções","1"
"O","C04Q03","Como podemos obter a data e hora atual em Python a partir da importação da biblioteca datetime?","datetime.datetime.now()","datetime.now()","now()","date.now()","A","Funções","1"
"O","C04Q04","Qual a utilidade da função Map em Python?","Mapeia uma função para cada elemento de uma lista","Mapeia uma função para cada chave de um dicionário","Mapeia uma função para cada elemento de um conjunto","Mapeia uma função para cada elemento de uma tupla","A","Funções","1"
"O","C04Q05","O que é list comprehension em Python?","Uma maneira concisa de criar listas.","Uma maneira de aplicar uma função a cada elemento de uma lista.","Uma maneira de filtrar elementos de uma lista","Uma forma de reduzir um lista a um único elemento","A","Funções","1"
"O","C05Q01","Como criar um arquivo de texto em Python?","open(‘nomArq.txt’, ‘r’)","create(‘nomArq.txt’, ‘r’)","file(‘nomArq.txt’, ‘r’)","new(‘nomArq.txt’, ‘r’)","A","Arquivos","1"
"O","C05Q02","Como ler um arquivo de texto em Python?","read(‘nomArq.txt’, ‘r’)","open(‘nomArq.txt’, ‘r’).read()","file(‘nomArq.txt’, ‘r’).read()","new(‘nomArq.txt’, ‘r’).read()","B","Arquivos","1"
"O","C05Q03","Como gravar um arquivo de texto em Python?","write(‘nomArq.txt’, ‘dados’)","open(‘nomArq.txt’, ‘w’).write(‘dados’)","file(‘nomArq.txt’, ‘w’).write(‘dados’)","new(‘nomArq.txt’, ‘w’).write(‘dados’)","B","Arquivos","1"
"O","C05Q04","Qual o comando usado para fechar um arquivo em Python?","break()","continue()","stop()","close()","D","Arquivos","1"
"O","C05Q05","Qual a utilidade do comando try em Python?","Tenta executar um bloco de código e para se encontrar um erro.","Tenta executar um bloco de código e ignora os erros.","Tenta executar um bloco de código e levanta uma exceção se encontrar um erro.","Tenta executar um bloco de código e aborta o programa se encontrar um erro.","C","Comandos","1"
"S","C06Q01","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = 2 
 for a in range(1,10): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","6","Programação","2"
"S","C06Q02","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(1,10): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q03","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 def normal(n): 
 	 if n == 0: 
 	 	 return ""Ola"" 
 print(normal(0))","","","","","Ola","Programação","2"
"S","C06Q04","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 q = lambda x,y: x**y; 
 print(q(2,3));","","","","","8","Programação","2"
"S","C06Q05","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 for v in range(7,3,-1): 
 	 print(v,end="""") 
 if v == 4: 
 	 print(""Oi"");","","","","","7654Oi","Programação","2"
"S","C06Q06","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 for i in range(1,3): 
 	 print(""Foo"",end=""""); 
 print(""Bar"")","","","","","FooFooBar","Programação","2"
"S","C06Q07","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 def x(): 
 	 a = 2 
 	 if (a == 2): 
 	 	 print(""Foo"") 
 	 	 return 
 	 print(""Bar"") 
 x()","","","","","Foo","Programação","2"
"S","C06Q08","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = 1 
 for a in range(2,10,3): 
 	 if (a % 2 != 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q09","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(2,10,2): 
 	 if (a % 2 == 0): 
 	 	 c += 1 
 print(c)","","","","","2","Programação","2"
"S","C06Q10","Qual será o resultado do seguinte código (Use EC se achar que é erro de compilação ou EE para erro de execução): 
 c = -2 
 for a in range(2,10,2): 
 	 if (a % 2 != 0): 
 	 	 c += 1 
 print(c)","","","","","-2","Programação","2"